Matchup,cd,dem_name,rep_name,prediction,raw_prediction,bucket,win_prob_d,flip,win_prob_r
Lou Correa (D) vs David Pan (R),CA-46,Lou Correa,David Pan,D+33.7,-33.7,Safe D,100,N,0
Dave Min (D) vs Jenny Rae Le Roux (R),CA-47,Dave Min,Jenny Rae Le Roux,D+21.0,-21,Safe D,100,N,0
Marni von Wilpert (D) vs Jim Desmond (R),CA-48,Marni von Wilpert,Jim Desmond,D+9.0,-9,Likely D,90,Y,10
Mike Levin (D) vs Armen Kurdian (R),CA-49,Mike Levin,Armen Kurdian,D+21.9,-21.9,Safe D,100,N,0
Scott Peters (D) vs Steve Cohen (R),CA-50,Scott Peters,Steve Cohen,D+27.3,-27.3,Safe D,100,N,0
Sara Jacobs (D) vs Ricardo Cabrera (R),CA-51,Sara Jacobs,Ricardo Cabrera,D+29.1,-29.1,Safe D,100,N,0
Juan Vargas (D) vs Jeff Belle (R),CA-52,Juan Vargas,Jeff Belle,D+32.8,-32.8,Safe D,100,N,0
Melat Kiros (D) vs Christy Peterson (R),CO-01,Melat Kiros,Christy Peterson,D+66.3,-66.3,Safe D,100,N,0
Joe Neguse (D) vs Kelley Anne Dennison (R),CO-02,Joe Neguse,Kelley Anne Dennison,D+51.8,-51.8,Safe D,100,N,0
Dwayne Romero (D) vs Jeff Hurd (R),CO-03,Dwayne Romero,Jeff Hurd,R+3.7,3.7,Lean R,29,N,71
Eileen Laubacher (D) vs Lauren Boebert (R),CO-04,Eileen Laubacher,Lauren Boebert,R+1.7,1.7,Lean R,40,N,60
Jessica Killin (D) vs Jeff Crank (R),CO-05,Jessica Killin,Jeff Crank,R+4.5,4.5,Lean R,25,N,75
Jason Crow (D) vs Mel Tewahade (R),CO-06,Jason Crow,Mel Tewahade,D+32.8,-32.8,Safe D,100,N,0
Brittany Pettersen (D) vs Tim Bennett (R),CO-07,Brittany Pettersen,Tim Bennett,D+28.2,-28.2,Safe D,100,N,0
Manny Rutinel (D) vs Gabe Evans (R),CO-08,Manny Rutinel,Gabe Evans,D+3.2,-3.2,Lean D,69,Y,31
Luke Bronin (D) vs Amy Chai (R),CT-01,Luke Bronin,Amy Chai,D+34.3,-34.3,Safe D,100,N,0
Joe Courtney (D) vs George Austin (R),CT-02,Joe Courtney,George Austin,D+25.4,-25.4,Safe D,100,N,0
Rosa DeLauro (D) vs Christopher Lancia (R),CT-03,Rosa DeLauro,Christopher Lancia,D+28.6,-28.6,Safe D,100,N,0
Jim Himes (D) vs Michael Goldstein (R),CT-04,Jim Himes,Michael Goldstein,D+34.6,-34.6,Safe D,100,N,0
Jahana Hayes (D) vs Chris Shea (R),CT-05,Jahana Hayes,Chris Shea,D+18.3,-18.3,Safe D,99,N,1
Sarah McBride (D) vs Eventual Nominee (R),DE-AL,Sarah McBride,Eventual Nominee,D+28.3,-28.3,Safe D,100,N,0
Gay Valimont (D) vs Jimmy Patronis (R),FL-01,Gay Valimont,Jimmy Patronis,R+31.4,31.4,Safe R,0,N,100
Amanda Green (D) vs Austin Rogers (R),FL-02,Amanda Green,Austin Rogers,R+12.8,12.8,Safe R,3,N,97
Seth Harp (D) vs Kat Cammack (R),FL-03,Seth Harp,Kat Cammack,R+18.2,18.2,Safe R,1,N,99
LaShonda Holloway (D) vs Aaron Bean (R),FL-04,LaShonda Holloway,Aaron Bean,R+9.5,9.5,Likely R,8,N,92
Rachel Grage (D) vs John Rutherford (R),FL-05,Rachel Grage,John Rutherford,R+19.6,19.6,Safe R,0,N,100
Eric Yonce (D) vs Randy Fine (R),FL-06,Eric Yonce,Randy Fine,R+26.9,26.9,Safe R,0,N,100
Bale Dalton (D) vs Ryan Elijah (R),FL-07,Bale Dalton,Ryan Elijah,R+3.6,3.6,Lean R,30,N,70
Jennifer Jenkins (D) vs Mike Haridopolos (R),FL-08,Jennifer Jenkins,Mike Haridopolos,R+12.5,12.5,Safe R,4,N,96
Darren Soto (D) vs Dan Green (R),FL-09,Darren Soto,Dan Green,R+6.4,6.4,Likely R,17,Y,83
Maxwell Frost (D) vs Eventual Nominee (R),FL-10,Maxwell Frost,Eventual Nominee,D+36.2,-36.2,Safe D,100,N,0
James Pericola (D) vs Joe Strada (R),FL-11,James Pericola,Joe Strada,R+10.2,10.2,Likely R,7,N,93
Kimberly Overman (D) vs Gus Bilirakis (R),FL-12,Kimberly Overman,Gus Bilirakis,R+12.0,12,Safe R,4,N,96
Leela Gray (D) vs Anna Paulina Luna (R),FL-13,Leela Gray,Anna Paulina Luna,R+6.9,6.9,Likely R,16,N,84
Kathy Castor (D) vs Mike Beltran (R),FL-14,Kathy Castor,Mike Beltran,D+1.2,-1.2,Tossup,57,N,43
Robert People (D) vs Laurel Lee (R),FL-15,Robert People,Laurel Lee,R+17.6,17.6,Safe R,1,N,99
Kelly Kirschner (D) vs Sydney Gruters (R),FL-16,Kelly Kirschner,Sydney Gruters,R+7.2,7.2,Likely R,14,N,86
Matthew Montavon (D) vs Greg Steube (R),FL-17,Matthew Montavon,Greg Steube,R+20.3,20.3,Safe R,0,N,100
Curtis Gibson (D) vs Scott Franklin (R),FL-18,Curtis Gibson,Scott Franklin,R+14.2,14.2,Safe R,2,N,98
Victor Arias (D) vs Jim Schwartzel (R),FL-19,Victor Arias,Jim Schwartzel,R+25.4,25.4,Safe R,0,N,100
Debbie Wasserman Schultz (D) vs Brent Andersen (R),FL-20,Debbie Wasserman Schultz,Brent Andersen,D+48.1,-48.1,Safe D,100,N,0
James Martin (D) vs Brian Mast (R),FL-21,James Martin,Brian Mast,R+14.7,14.7,Safe R,2,N,98
Pia Dandiya (D) vs Casey Askar (R),FL-22,Pia Dandiya,Casey Askar,R+5.0,5,Lean R,23,Y,77
Lois Frankel (D) vs Deborah Adeimy (R),FL-23,Lois Frankel,Deborah Adeimy,D+27.3,-27.3,Safe D,100,N,0
Oliver Gilbert (D) vs Te Mayonna Brown (R),FL-24,Oliver Gilbert,Te Mayonna Brown,D+48.8,-48.8,Safe D,100,N,0
Jared Moskowitz (D) vs Scott Singer (R),FL-25,Jared Moskowitz,Scott Singer,D+0.9,-0.9,Tossup,56,N,44
Nicole Locklin (D) vs Mario Diaz-Balart (R),FL-26,Nicole Locklin,Mario Diaz-Balart,R+18.3,18.3,Safe R,1,N,99
Eliott Rodriguez (D) vs Maria Elvira Salazar (R),FL-27,Eliott Rodriguez,Maria Elvira Salazar,R+11.3,11.3,Safe R,5,N,95
Phil Ehr (D) vs Carlos Gimenez (R),FL-28,Phil Ehr,Carlos Gimenez,R+21.7,21.7,Safe R,0,N,100
Amanda Hollowell (D) vs Jim Kingston (R),GA-01,Amanda Hollowell,Jim Kingston,R+15.1,15.1,Safe R,2,N,98
Sanford Bishop (D) vs Matt Day (R),GA-02,Sanford Bishop,Matt Day,D+17.8,-17.8,Safe D,99,N,1
Maura Keller (D) vs Brian Jack (R),GA-03,Maura Keller,Brian Jack,R+32.2,32.2,Safe R,0,N,100
Hank Johnson (D) vs James Duffie (R),GA-04,Hank Johnson,James Duffie,D+60.4,-60.4,Safe D,100,N,0
Nikema Williams (D) vs John Oscar Salvesen (R),GA-05,Nikema Williams,John Oscar Salvesen,D+78.2,-78.2,Safe D,100,N,0
Lucy McBath (D) vs Kevin Martin (R),GA-06,Lucy McBath,Kevin Martin,D+57.5,-57.5,Safe D,100,N,0
Tony Kozycki (D) vs Rich McCormick (R),GA-07,Tony Kozycki,Rich McCormick,R+25.8,25.8,Safe R,0,N,100
Kelly Esti (D) vs Austin Scott (R),GA-08,Kelly Esti,Austin Scott,R+33.4,33.4,Safe R,0,N,100
Caitlyn Gegen (D) vs Andrew Clyde (R),GA-09,Caitlyn Gegen,Andrew Clyde,R+36.1,36.1,Safe R,0,N,100
Pamela Delancy (D) vs Houston Gaines (R),GA-10,Pamela Delancy,Houston Gaines,R+20.5,20.5,Safe R,0,N,100
Chris Harden (D) vs John Cowan (R),GA-11,Chris Harden,John Cowan,R+19.4,19.4,Safe R,0,N,100
Ceretta Smith (D) vs Rick Allen (R),GA-12,Ceretta Smith,Rick Allen,R+17.7,17.7,Safe R,1,N,99
Jasmine Clark (D) vs Jonathan Chavez (R),GA-13,Jasmine Clark,Jonathan Chavez,D+48.5,-48.5,Safe D,100,N,0
Shawn Harris (D) vs Clay Fuller (R),GA-14,Shawn Harris,Clay Fuller,R+29.2,29.2,Safe R,0,N,100
Ed Case (D) vs Adriel Lam (R),HI-01,Ed Case,Adriel Lam,D+46.9,-46.9,Safe D,100,N,0
Jill Tokuda (D) vs Brenton Awa (R),HI-02,Jill Tokuda,Brenton Awa,D+39.3,-39.3,Safe D,100,N,0
Christina Bohannan (D) vs Mariannette Miller-Meeks (R),IA-01,Christina Bohannan,Mariannette Miller-Meeks,D+4.3,-4.3,Lean D,74,Y,26
Lindsay James (D) vs Joe Mitchell (R),IA-02,Lindsay James,Joe Mitchell,D+0.2,-0.2,Tossup,51,Y,49
Sarah Trone Garriott (D) vs Zach Nunn (R),IA-03,Sarah Trone Garriott,Zach Nunn,D+4.1,-4.1,Lean D,73,Y,27
Dave Dawson (D) vs Chris McGowan (R),IA-04,Dave Dawson,Chris McGowan,R+22.9,22.9,Safe R,0,N,100
Kaylee Peterson (D) vs Russ Fulcher (R),ID-01,Kaylee Peterson,Russ Fulcher,R+40.5,40.5,Safe R,0,N,100
Ellie Gilbreath (D) vs Mike Simpson (R),ID-02,Ellie Gilbreath,Mike Simpson,R+24.1,24.1,Safe R,0,N,100
Jonathan Jackson (D) vs Christian Maxwell (R),IL-01,Jonathan Jackson,Christian Maxwell,D+44.9,-44.9,Safe D,100,N,0
Donna Miller (D) vs Michael Noack (R),IL-02,Donna Miller,Michael Noack,D+46.1,-46.1,Safe D,100,N,0
Delia Ramirez (D) vs Angel Oakley (R),IL-03,Delia Ramirez,Angel Oakley,D+47.9,-47.9,Safe D,100,N,0
Patty Garcia (D) vs Lupe Castillo (R),IL-04,Patty Garcia,Lupe Castillo,D+42.3,-42.3,Safe D,100,N,0
Mike Quigley (D) vs Tommy Hanson (R),IL-05,Mike Quigley,Tommy Hanson,D+52.0,-52,Safe D,100,N,0
Sean Casten (D) vs Niki Conforti (R),IL-06,Sean Casten,Niki Conforti,D+21.2,-21.2,Safe D,100,N,0
La Shawn Ford (D) vs Chad Koppie (R),IL-07,La Shawn Ford,Chad Koppie,D+76.6,-76.6,Safe D,100,N,0
Melissa Bean (D) vs Jennifer Davis (R),IL-08,Melissa Bean,Jennifer Davis,D+17.8,-17.8,Safe D,99,N,1
Daniel Biss (D) vs John Elleson (R),IL-09,Daniel Biss,John Elleson,D+45.8,-45.8,Safe D,100,N,0
Brad Schneider (D) vs Carl Lambrecht (R),IL-10,Brad Schneider,Carl Lambrecht,D+36.1,-36.1,Safe D,100,N,0
Bill Foster (D) vs Jeff Walter (R),IL-11,Bill Foster,Jeff Walter,D+26.4,-26.4,Safe D,100,N,0
Julie Fortier (D) vs Mike Bost (R),IL-12,Julie Fortier,Mike Bost,R+38.6,38.6,Safe R,0,N,100
Nikki Budzinski (D) vs Jeff Wilson (R),IL-13,Nikki Budzinski,Jeff Wilson,D+28.5,-28.5,Safe D,100,N,0
Lauren Underwood (D) vs James Marter (R),IL-14,Lauren Underwood,James Marter,D+22.8,-22.8,Safe D,100,N,0
Jennifer Todd (D) vs Mary Miller (R),IL-15,Jennifer Todd,Mary Miller,R+34.0,34,Safe R,0,N,100
Paul Nolley (D) vs Darin LaHood (R),IL-16,Paul Nolley,Darin LaHood,R+21.8,21.8,Safe R,0,N,100
Eric Sorensen (D) vs Dillan Vancil (R),IL-17,Eric Sorensen,Dillan Vancil,D+20.9,-20.9,Safe D,100,N,0
Frank Mrvan (D) vs Barb Regnitz (R),IN-01,Frank Mrvan,Barb Regnitz,D+13.9,-13.9,Safe D,98,N,2
Jamee Decio (D) vs Rudy Yakym (R),IN-02,Jamee Decio,Rudy Yakym,R+24.2,24.2,Safe R,0,N,100
Kelly Thompson (D) vs Marlin Stutzman (R),IN-03,Kelly Thompson,Marlin Stutzman,R+28.6,28.6,Safe R,0,N,100
Drew Cox (D) vs Jim Baird (R),IN-04,Drew Cox,Jim Baird,R+27.3,27.3,Safe R,0,N,100
J.D. Ford (D) vs Victoria Spartz (R),IN-05,J.D. Ford,Victoria Spartz,R+11.4,11.4,Safe R,5,N,95
Cinde Wirth (D) vs Jefferson Shreve (R),IN-06,Cinde Wirth,Jefferson Shreve,R+28.9,28.9,Safe R,0,N,100
Andre Carson (D) vs Patrick McAuley (R),IN-07,Andre Carson,Patrick McAuley,D+53.9,-53.9,Safe D,100,N,0
Mary Allen (D) vs Mark Messmer (R),IN-08,Mary Allen,Mark Messmer,R+33.4,33.4,Safe R,0,N,100
Brad Meyer (D) vs Erin Houchin (R),IN-09,Brad Meyer,Erin Houchin,R+26.8,26.8,Safe R,0,N,100
Lauren Reinhold (D) vs Tracey Mann (R),KS-01,Lauren Reinhold,Tracey Mann,R+29.3,29.3,Safe R,0,N,100
Don Coover (D) vs Derek Schmidt (R),KS-02,Don Coover,Derek Schmidt,R+14.5,14.5,Safe R,2,N,98
Sharice Davids (D) vs Eric Jenkins (R),KS-03,Sharice Davids,Eric Jenkins,D+20.4,-20.4,Safe D,100,N,0
Katy Tyndell (D) vs Ron Estes (R),KS-04,Katy Tyndell,Ron Estes,R+20.6,20.6,Safe R,0,N,100
Drew Williams (D) vs James Comer (R),KY-01,Drew Williams,James Comer,R+41.5,41.5,Safe R,0,N,100
Megan Wingfield (D) vs Brett Guthrie (R),KY-02,Megan Wingfield,Brett Guthrie,R+36.9,36.9,Safe R,0,N,100
Morgan McGarvey (D) vs Maria Rodriguez (R),KY-03,Morgan McGarvey,Maria Rodriguez,D+36.2,-36.2,Safe D,100,N,0
Melissa Strange (D) vs Ed Gallrein (R),KY-04,Melissa Strange,Ed Gallrein,R+27.7,27.7,Safe R,0,N,100
Ned Pillersdorf (D) vs Hal Rogers (R),KY-05,Ned Pillersdorf,Hal Rogers,R+58.0,58,Safe R,0,N,100
Zach Dembo (D) vs Ralph Alvarado (R),KY-06,Zach Dembo,Ralph Alvarado,R+4.6,4.6,Lean R,24,N,76
Lauren Jewett (D) vs Steve Scalise (R),LA-01,Lauren Jewett,Steve Scalise,R+41.2,41.2,Safe R,0,N,100
Troy Carter (D) vs Eventual Nominee (R),LA-02,Troy Carter,Eventual Nominee,D+60.5,-60.5,Safe D,100,N,0
Eventual Nominee (D) vs Clay Higgins (R),LA-03,Eventual Nominee,Clay Higgins,R+40.3,40.3,Safe R,0,N,100
Eventual Nominee (D) vs Mike Johnson (R),LA-04,Eventual Nominee,Mike Johnson,R+38.3,38.3,Safe R,0,N,100
Eventual Nominee (D) vs Eventual Nominee (R),LA-05,Eventual Nominee,Eventual Nominee,R+32.8,32.8,Safe R,0,N,100
Cleo Fields (D) vs Eventual Nominee (R),LA-06,Cleo Fields,Eventual Nominee,R+24.5,24.5,Safe R,0,Y,100
Richard Neal (D) vs Eventual Nominee (R),MA-01,Richard Neal,Eventual Nominee,D+30.2,-30.2,Safe D,100,N,0
Jim McGovern (D) vs Eventual Nominee (R),MA-02,Jim McGovern,Eventual Nominee,D+40.7,-40.7,Safe D,100,N,0
Lori Trahan (D) vs Gary Grossi (R),MA-03,Lori Trahan,Gary Grossi,D+35.7,-35.7,Safe D,100,N,0
Jake Auchincloss (D) vs Tom Stalcup (R),MA-04,Jake Auchincloss,Tom Stalcup,D+32.4,-32.4,Safe D,100,N,0
Katherine Clark (D) vs Eventual Nominee (R),MA-05,Katherine Clark,Eventual Nominee,D+58.9,-58.9,Safe D,100,N,0
Eventual Nominee (D) vs Micah Jones (R),MA-06,Eventual Nominee,Micah Jones,D+33.6,-33.6,Safe D,100,N,0
Ayanna Pressley (D) vs Eventual Nominee (R),MA-07,Ayanna Pressley,Eventual Nominee,D+77.1,-77.1,Safe D,100,N,0
Stephen Lynch (D) vs Eventual Nominee (R),MA-08,Stephen Lynch,Eventual Nominee,D+46.8,-46.8,Safe D,100,N,0
Bill Keating (D) vs Tyler MacAllister (R),MA-09,Bill Keating,Tyler MacAllister,D+26.5,-26.5,Safe D,100,N,0
Dan Schwartz (D) vs Andy Harris (R),MD-01,Dan Schwartz,Andy Harris,R+12.2,12.2,Safe R,4,N,96
Johnny Olszewski (D) vs Dave Wallace (R),MD-02,Johnny Olszewski,Dave Wallace,D+32.3,-32.3,Safe D,100,N,0
Sarah Elfreth (D) vs Berney Flowers (R),MD-03,Sarah Elfreth,Berney Flowers,D+37.3,-37.3,Safe D,100,N,0
Glenn Ivey (D) vs George McDermott (R),MD-04,Glenn Ivey,George McDermott,D+87.7,-87.7,Safe D,100,N,0
Adrian Boafo (D) vs Chris Chaffee (R),MD-05,Adrian Boafo,Chris Chaffee,D+43.9,-43.9,Safe D,100,N,0
April McClain Delaney (D) vs Robin Ficker (R),MD-06,April McClain Delaney,Robin Ficker,D+20.8,-20.8,Safe D,100,N,0
Kweisi Mfume (D) vs Scott Collier (R),MD-07,Kweisi Mfume,Scott Collier,D+75.2,-75.2,Safe D,100,N,0
Jamie Raskin (D) vs Cheryl Riley (R),MD-08,Jamie Raskin,Cheryl Riley,D+67.8,-67.8,Safe D,100,N,0
Chellie Pingree (D) vs Ronald Russell (R),ME-01,Chellie Pingree,Ronald Russell,D+35.0,-35,Safe D,100,N,0
Matt Dunlap (D) vs Paul LePage (R),ME-02,Matt Dunlap,Paul LePage,R+1.2,1.2,Tossup,43,Y,57
Callie Barr (D) vs Jack Bergman (R),MI-01,Callie Barr,Jack Bergman,R+13.3,13.3,Safe R,3,N,97
Ben Ambrose (D) vs John Moolenaar (R),MI-02,Ben Ambrose,John Moolenaar,R+27.3,27.3,Safe R,0,N,100
Hillary Scholten (D) vs Terri DeBoer (R),MI-03,Hillary Scholten,Terri DeBoer,D+22.1,-22.1,Safe D,100,N,0
Sean McCann (D) vs Bill Huizenga (R),MI-04,Sean McCann,Bill Huizenga,R+1.5,1.5,Tossup,42,N,58
Christian Vukasovich (D) vs Tim Walberg (R),MI-05,Christian Vukasovich,Tim Walberg,R+24.2,24.2,Safe R,0,N,100
Debbie Dingell (D) vs Heather Smiley (R),MI-06,Debbie Dingell,Heather Smiley,D+39.0,-39,Safe D,100,N,0
Will Lawrence (D) vs Tom Barrett (R),MI-07,Will Lawrence,Tom Barrett,D+1.9,-1.9,Lean D,62,Y,38
Kristen McDonald Rivet (D) vs Thomas Smith (R),MI-08,Kristen McDonald Rivet,Thomas Smith,D+16.7,-16.7,Safe D,99,N,1
Ray Pooley (D) vs Lisa McClain (R),MI-09,Ray Pooley,Lisa McClain,R+29.6,29.6,Safe R,0,N,100
Christina Hines (D) vs Michael Bouchard (R),MI-10,Christina Hines,Michael Bouchard,D+3.1,-3.1,Lean D,68,Y,32
